"Run","Seed","BestYukawa2Cs2Ms6MB2","BestLoss","CoarseBestY","Alpha","GammaTotal","mPi","MEta","mRho","mOmega","mPhi","GammaRho","GammaOmega","GammaPhi","mKP","mN","g","zNS","zSmBm","PhiPdeg","PhiVdeg"
57,12402,0.00008999999999999999,1.566154569169226,0.00008939393939393939,0.0072975256879368195,1.2171693962933154e-6,0.13497649712347048,0.5478525991081875,0.7753371251761751,0.7825877746851732,1.0194947516529071,0.15004248767670703,0.008650621954409639,0.004248787145112538,0.49368694605473024,0.9382720877381832,0.6872931110162991,0.8459850355836883,0.6658037006804008,41.32724903183372,3.1978904330969065
58,12403,0.00008824242424242424,1.5729816703306967,0.00008787878787878787,0.007297525668179751,1.2878512309429608e-6,0.1349762994874491,0.5478437367704316,0.7754197653245648,0.7826999375725454,1.019464848529199,0.14948646795074214,0.00878245731310658,0.004245569873621418,0.4936847357161863,0.9382720880419331,0.6952225022534465,0.8335365098017925,0.6514598462849592,41.313365282118184,3.3718838590784026
59,12404,0.00007866666666666666,1.6197484271992932,0.00007878787878787879,0.007297525647799458,1.3459244799071266e-6,0.13497588852468062,0.5478642403812087,0.7749748810852692,0.7827714869181923,1.0194455623256573,0.14857672371601086,0.008586907481765254,0.004240205618032809,0.49366535147257407,0.9382720883887422,0.7038883811927218,0.838696602608908,0.6440067346405636,41.08213031164717,3.4285069002040087
60,12405,0.0000812121212121212,1.613106306184043,0.00008181818181818182,0.007297525704572902,1.2836644922372535e-6,0.13497685175588967,0.5478410425826796,0.7751470282706757,0.7824661171373918,1.0194807199599611,0.1483155696689355,0.008866338560760696,0.0042627845186896714,0.4936593804402843,0.9382720882731276,0.7026190021369447,0.830165881629831,0.6385797936380044,41.00593267717047,3.156064897980092
61,12406,0.00008775757575757575,1.5927238906742636,0.00008787878787878787,0.007297525662316032,1.3614322374933454e-6,0.13497677810664924,0.5478621985269482,0.7751880544222877,0.7826030910639383,1.0194521598632555,0.14815670930900493,0.008681015268324854,0.004241695520147238,0.49367597160272253,0.9382720884242887,0.6972043532118384,0.8231963555833598,0.6412026025458382,40.901942699683985,3.220685190599919
62,12407,0.000088,1.5551302015131805,0.00008787878787878787,0.00729752566926206,1.3129281944385612e-6,0.13497733997090852,0.5478606203015254,0.7752965812418171,0.7826543993066372,1.0194984441577535,0.14855728157488204,0.008684149499005794,0.00427939284078214,0.4936768614720233,0.9382720877973563,0.6902369216378884,0.8485184613906458,0.6346313010781128,41.73546325449646,3.2222164774071467
63,12408,0.00008636363636363636,1.6077589062512683,0.00008636363636363636,0.0072975256538468005,1.287102373705597e-6,0.13497731070162539,0.5479025827540661,0.7749820486067387,0.782717501282203,1.019435537505938,0.14787002730161933,0.008821792563961848,0.004301370354053362,0.49370362342455243,0.9382720884272149,0.6934716976065174,0.834715600485585,0.6648982183230271,40.66467397870578,3.3364487297934904
64,12409,0.0000916969696969697,1.5329624336335939,0.00009242424242424243,0.007297525647255236,1.2973729139334925e-6,0.13497595543503405,0.5478501512621025,0.7752274704485387,0.7826954287744388,1.0194292239303477,0.15061634109168778,0.008639574504873014,0.004265578356172094,0.4936742306769929,0.9382720883443122,0.6919953168499351,0.8380562664603961,0.6581982970809735,41.97836665048293,3.2401309661343074
65,12410,0.00009472727272727273,1.6040907695308406,0.00009545454545454546,0.007297525663067379,1.3175862383347743e-6,0.13497674323150166,0.5478524050012912,0.7753028178107765,0.7826846644732611,1.0194646666348393,0.14802245151726257,0.008740332849814006,0.004242588082451163,0.4936874336852167,0.9382720885636,0.6876320478304577,0.8156075891346254,0.6398434992072685,40.066329155259744,3.1986619917641548
66,12411,0.00010103030303030303,1.5198895188736445,0.0001015151515151515,0.007297525654329999,1.2255260562309467e-6,0.13497733722279415,0.5478515566369846,0.7751985400051957,0.7827034859549791,1.0194745249975274,0.14958222883694283,0.008687494801187976,0.0042374367976226205,0.4937277583128149,0.9382720881185903,0.6893197594470195,0.8120854883611289,0.6417776237149023,41.561339205519886,3.2082900857383443
